poll_id,debate_date,date,candidate,democratdum,republicandum,year,sample1,high_sample1,change_democrats,change_republicans,d_republicans,pre_democrats,pre_republicans,Immigration,ForeignPolicy,AbortionRights,aggressive,inflammatory,discriminatory,aggressive_d,aggressive_r,inflammatory_d,inflammatory_r,discriminatory_d,discriminatory_r
492.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,1000.0,0.0,-4.0,6.0,0.0,53.0,39.0,1,0,0,120,42,4,54,66,24,18,0,4
492.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,1000.0,0.0,-4.0,6.0,0.0,53.0,39.0,1,1,1,98,30,6,48,50,12,18,2,4
494.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,1000.0,0.0,0.0,1.0,0.0,50.0,45.0,1,0,0,120,42,4,54,66,24,18,0,4
494.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,1000.0,0.0,0.0,1.0,0.0,50.0,45.0,1,1,1,98,30,6,48,50,12,18,2,4
495.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,764.0,0.0,1.0,0.0,0.0,50.0,46.0,1,1,1,98,30,6,48,50,12,18,2,4
495.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,764.0,0.0,1.0,0.0,0.0,50.0,46.0,1,0,0,120,42,4,54,66,24,18,0,4
496.0,2008-10-15,2008-10-15,MCCAIN,0.0,1.0,2008.0,773.0,0.0,-1.0,-4.0,-1.8666687,51.0,46.0,1,0,0,120,42,4,54,66,24,18,0,4
496.0,2008-10-07,2008-10-07,MCCAIN,0.0,1.0,2008.0,773.0,0.0,-1.0,-4.0,-1.8666687,51.0,46.0,1,1,1,98,30,6,48,50,12,18,2,4
498.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,800.0,0.0,-8.0,1.0,0.0,52.0,42.0,1,1,1,98,30,6,48,50,12,18,2,4
498.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,800.0,0.0,-8.0,1.0,0.0,52.0,42.0,1,0,0,120,42,4,54,66,24,18,0,4
499.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,936.0,0.0,5.0,-3.0,-2.333332,44.0,43.0,1,0,0,120,42,4,54,66,24,18,0,4
499.0,2008-10-07,2008-10-07,MCCAIN,0.0,1.0,2008.0,936.0,0.0,5.0,-3.0,-2.333332,44.0,43.0,1,1,1,98,30,6,48,50,12,18,2,4
499.0,2008-10-15,2008-10-15,MCCAIN,0.0,1.0,2008.0,936.0,0.0,5.0,-3.0,-2.333332,44.0,43.0,1,0,0,120,42,4,54,66,24,18,0,4
499.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,936.0,0.0,5.0,-3.0,-2.333332,44.0,43.0,1,1,1,98,30,6,48,50,12,18,2,4
500.0,2008-10-15,2008-10-15,MCCAIN,0.0,1.0,2008.0,1206.0,1.0,3.0,0.0,2.5999985,49.0,40.0,1,0,0,120,42,4,54,66,24,18,0,4
500.0,2008-10-07,2008-10-07,MCCAIN,0.0,1.0,2008.0,1206.0,1.0,3.0,0.0,2.5999985,49.0,40.0,1,1,1,98,30,6,48,50,12,18,2,4
501.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,769.0,0.0,-4.0,3.0,0.0,52.0,40.0,1,1,1,98,30,6,48,50,12,18,2,4
501.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,769.0,0.0,-4.0,3.0,0.0,52.0,40.0,1,0,0,120,42,4,54,66,24,18,0,4
502.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,771.0,0.0,4.0,-4.0,0.0,48.0,43.0,1,0,0,120,42,4,54,66,24,18,0,4
502.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,771.0,0.0,4.0,-4.0,0.0,48.0,43.0,1,1,1,98,30,6,48,50,12,18,2,4
503.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,1060.0,1.0,-7.0,5.0,0.0,52.0,39.0,1,1,1,98,30,6,48,50,12,18,2,4
503.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,1060.0,1.0,-7.0,5.0,0.0,52.0,39.0,1,0,0,120,42,4,54,66,24,18,0,4
505.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,1000.0,0.0,5.0,9.0,0.0,44.0,36.0,1,1,1,98,30,6,48,50,12,18,2,4
505.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,1000.0,0.0,5.0,9.0,0.0,44.0,36.0,1,0,0,120,42,4,54,66,24,18,0,4
506.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,2349.0,1.0,2.0,0.0,0.0,49.0,45.0,1,1,1,98,30,6,48,50,12,18,2,4
506.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,2349.0,1.0,2.0,0.0,0.0,49.0,45.0,1,0,0,120,42,4,54,66,24,18,0,4
507.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,2399.0,1.0,-1.0,1.0,0.0,51.0,45.0,1,1,1,98,30,6,48,50,12,18,2,4
507.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,2399.0,1.0,-1.0,1.0,0.0,51.0,45.0,1,0,0,120,42,4,54,66,24,18,0,4
508.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,1335.0,1.0,4.0,-3.0,0.0,50.0,46.0,1,1,1,98,30,6,48,50,12,18,2,4
508.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,1335.0,1.0,4.0,-3.0,0.0,50.0,46.0,1,0,0,120,42,4,54,66,24,18,0,4
509.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,3000.0,1.0,-2.0,2.0,0.0,54.0,43.0,1,1,1,98,30,6,48,50,12,18,2,4
509.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,3000.0,1.0,-2.0,2.0,0.0,54.0,43.0,1,0,0,120,42,4,54,66,24,18,0,4
510.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,882.0,0.0,1.0,-4.0,-1.5999985,52.0,45.0,1,0,0,120,42,4,54,66,24,18,0,4
510.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,882.0,0.0,1.0,-4.0,-1.5999985,52.0,45.0,1,1,1,98,30,6,48,50,12,18,2,4
510.0,2008-10-15,2008-10-15,MCCAIN,0.0,1.0,2008.0,882.0,0.0,1.0,-4.0,-1.5999985,52.0,45.0,1,0,0,120,42,4,54,66,24,18,0,4
510.0,2008-10-07,2008-10-07,MCCAIN,0.0,1.0,2008.0,882.0,0.0,1.0,-4.0,-1.5999985,52.0,45.0,1,1,1,98,30,6,48,50,12,18,2,4
511.0,2008-10-07,2008-10-07,MCCAIN,0.0,1.0,2008.0,824.0,0.0,-6.0,3.0,2.7777786,53.0,41.0,1,1,1,98,30,6,48,50,12,18,2,4
511.0,2008-10-15,2008-10-15,MCCAIN,0.0,1.0,2008.0,824.0,0.0,-6.0,3.0,2.7777786,53.0,41.0,1,0,0,120,42,4,54,66,24,18,0,4
512.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,1198.0,1.0,6.0,-6.0,0.0,47.0,44.0,1,1,1,98,30,6,48,50,12,18,2,4
512.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,1198.0,1.0,6.0,-6.0,0.0,47.0,44.0,1,0,0,120,42,4,54,66,24,18,0,4
513.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,2446.0,1.0,-3.0,7.0,0.0,53.0,38.0,1,1,1,98,30,6,48,50,12,18,2,4
513.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,2446.0,1.0,-3.0,7.0,0.0,53.0,38.0,1,0,0,120,42,4,54,66,24,18,0,4
514.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,1000.0,0.0,-1.0,1.0,0.0,50.0,45.0,1,0,0,120,42,4,54,66,24,18,0,4
514.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,1000.0,0.0,-1.0,1.0,0.0,50.0,45.0,1,1,1,98,30,6,48,50,12,18,2,4
515.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,879.0,0.0,1.0,-4.0,0.0,49.0,46.0,1,0,0,120,42,4,54,66,24,18,0,4
515.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,879.0,0.0,1.0,-4.0,0.0,49.0,46.0,1,1,1,98,30,6,48,50,12,18,2,4
516.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,1314.0,1.0,2.0,3.0,0.0,50.0,42.0,1,0,0,120,42,4,54,66,24,18,0,4
516.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,1314.0,1.0,2.0,3.0,0.0,50.0,42.0,1,1,1,98,30,6,48,50,12,18,2,4
517.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,3000.0,1.0,-1.0,1.0,0.0,52.0,45.0,1,0,0,120,42,4,54,66,24,18,0,4
517.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,3000.0,1.0,-1.0,1.0,0.0,52.0,45.0,1,1,1,98,30,6,48,50,12,18,2,4
518.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,2343.0,1.0,2.0,-3.0,0.0,51.0,46.0,1,0,0,120,42,4,54,66,24,18,0,4
518.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,2343.0,1.0,2.0,-3.0,0.0,51.0,46.0,1,1,1,98,30,6,48,50,12,18,2,4
519.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,1203.0,1.0,-3.0,2.0,0.0,53.0,43.0,1,1,1,98,30,6,48,50,12,18,2,4
519.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,1203.0,1.0,-3.0,2.0,0.0,53.0,43.0,1,0,0,120,42,4,54,66,24,18,0,4
