date,speaker,party,sentence
2004-09-30,BUSH,Rep,We continue to pursue our policy of disrupting those who proliferate weapons of mass destruction.
2004-09-30,BUSH,Rep,Libya has disarmed.
2004-09-30,BUSH,Rep,The A.Q.
2004-09-30,BUSH,Rep,Khan network has been brought to justice.
2004-09-30,BUSH,Rep,"And as well, we're pursuing a strategy of—of freedom around the world, because I understand free nations will reject terror; free nations will answer the hopes and aspirations of their people; free nations will help us achieve the peace we all want."
2004-09-30,BUSH,Rep,"No, I don't believe it's going to happen."
2004-09-30,BUSH,Rep,I believe I'm going to win because the American people know I know how to lead.
2004-09-30,BUSH,Rep,I've shown the American people I know how to lead.
2004-09-30,BUSH,Rep,"I have—I understand everybody in this country doesn't agree with the decisions that I've made, and I made some tough decisions."
2004-09-30,BUSH,Rep,But people know where I stand.
2004-09-30,BUSH,Rep,"People out there listening know what I believe, and that's how best it is to keep the peace."
2004-09-30,BUSH,Rep,"This Nation of ours has got a solemn duty to defeat this ideology of hate, and that's what they are."
2004-09-30,BUSH,Rep,"This is a group of killers who will not only kill here but kill children in Russia, that will attack unmercifully in Iraq hoping to shake our will."
2004-09-30,BUSH,Rep,We have a duty to defeat this enemy.
2004-09-30,BUSH,Rep,We have a duty to protect our children and grandchildren.
2004-09-30,BUSH,Rep,"The best way to defeat them is to never waver, to be strong, to use every asset at our disposal, is to constantly stay on the offensive, and at the same time, spread liberty."
2004-09-30,BUSH,Rep,And that's what people are seeing now is happening in Afghanistan.
2004-09-30,BUSH,Rep,Ten million citizens have registered to vote.
2004-09-30,BUSH,Rep,"It's a phenomenal statistic, that if given a chance to be free, they will show up at the polls."
2004-09-30,BUSH,Rep,Forty-one percent of those 10 million are women.
2004-09-30,BUSH,Rep,"In Iraq, no doubt about it, it's tough."
2004-09-30,BUSH,Rep,It's hard work.
2004-09-30,BUSH,Rep,It's incredibly hard.
2004-09-30,BUSH,Rep,You know why?
2004-09-30,BUSH,Rep,Because an enemy realizes the stakes.
2004-09-30,BUSH,Rep,The enemy understands a free Iraq will be a major defeat in their ideology of hatred.
2004-09-30,BUSH,Rep,That's why they're fighting so vociferously.
2004-09-30,BUSH,Rep,"They showed up in Afghanistan when they were there because they tried to beat us, and they didn't."
2004-09-30,BUSH,Rep,And they're showing up in Iraq for the same reason.
2004-09-30,BUSH,Rep,They're trying to defeat us.
2004-09-30,BUSH,Rep,"And if we lose our will, we lose."
2004-09-30,BUSH,Rep,"But if we remain strong and resolute, we will defeat this enemy."
2004-09-30,KERRY,Dem,"I believe in being strong and resolute and determined, and I will hunt down and kill the terrorists, wherever they are."
2004-09-30,KERRY,Dem,"But we also have to be smart, Jim, and smart means not diverting your attention from the real war on terror in Afghanistan against Usama bin Laden and taking it off to Iraq, where the 9/11 Commission confirms there was no connection to 9/11 itself and Saddam Hussein, and where the reason for going to war was weapons of mass destruction, not the removal of Saddam Hussein."
2004-09-30,KERRY,Dem,"This President has made, I regret to say, a colossal error of judgment."
2004-09-30,KERRY,Dem,And judgment is what we look for in the President of the United States of America.
2004-09-30,KERRY,Dem,"I'm proud that important military figures are supporting me in this race: former Chairman of Joint Chiefs of Staff John Shalikashvili; just yesterday General Eisenhower's son, General John Eisenhower, endorsed me; General—Admiral William Crowe; General Tony McPeak, who ran the Air Force war so effectively for his father."
2004-09-30,KERRY,Dem,All believe I would make a stronger Commander in Chief.
2004-09-30,KERRY,Dem,"And they believe it because they know I would not take my eye off of the goal, Usama bin Laden."
2004-09-30,KERRY,Dem,"Unfortunately, he escaped in the mountains of Tora Bora."
2004-09-30,KERRY,Dem,We had him surrounded.
2004-09-30,KERRY,Dem,"But we didn't use American forces, the best trained in the world, to go kill him."
2004-09-30,KERRY,Dem,The President relied on Afghan warlords that he outsourced that job to.
2004-09-30,KERRY,Dem,That's wrong.
2004-09-30,KERRY,Dem,"Well, where do you want me to begin?"
2004-09-30,KERRY,Dem,"First of all, he made the misjudgment of saying to America that he was going to build a true alliance, that he would exhaust the remedies of the United Nations and go through the inspections."
2004-09-30,KERRY,Dem,"In fact, he first didn't even want to do that, and it wasn't until former Secretary of State Jim Baker and General Scowcroft and others pushed publicly and said, ""You've got to go to the U.N.,"" that the President finally changed his mind— his campaign has a word for that—and went to the United Nations."
2004-09-30,KERRY,Dem,"Now, once there, we could have continued those inspections."
2004-09-30,KERRY,Dem,We had Saddam Hussein trapped.
2004-09-30,KERRY,Dem,He also promised America that he would go to war as a last resort.
2004-09-30,KERRY,Dem,"Those words mean something to me, as somebody who has been in combat, ""last resort."" You've got to be able to look in the eyes of families and say to those parents, ""I tried to do everything in my power to prevent the loss of your son and daughter."" I don't believe the United States did that, and we pushed our allies aside."
2004-09-30,KERRY,Dem,"And so today, we are 90 percent of the casualties and 90 percent of the cost, $200 billion—$200 billion that could have been used for health care, for schools, for construction, for prescription drugs for seniors, and it's in Iraq."
2004-09-30,KERRY,Dem,And Iraq is not even the center of the focus of the war on terror.
2004-09-30,KERRY,Dem,"The center is Afghanistan where, incidentally, there were more Americans killed last year than the year before, where the opium production is 75 percent of the world's opium production, where 40 to 60 percent of the economy of Afghanistan is based on opium, where the elections have been postponed 3 times."
2004-09-30,KERRY,Dem,"The President moved the troops, so he's got 10 times the number of troops in Iraq than he has in Afghanistan, where Usama bin Laden is."
2004-09-30,KERRY,Dem,Does that mean that Saddam Hussein was 10 times more important than Usama bin Laden— excuse me—Saddam Hussein more important than Usama bin Laden?
2004-09-30,KERRY,Dem,I don't think so.
2004-09-30,BUSH,Rep,"My opponent looked at the same intelligence I looked at and declared, in 2002, that Saddam Hussein was a grave threat."
2004-09-30,BUSH,Rep,"He also said, in December of 2003, that anyone who doubts that the world is safer without Saddam Hussein does not have the judgment to be President."
2004-09-30,BUSH,Rep,I agree with him.
2004-09-30,BUSH,Rep,The world is better off without Saddam Hussein.
2004-09-30,BUSH,Rep,I was hoping diplomacy would work.
2004-09-30,BUSH,Rep,I understand the serious consequences of committing our troops into harm's way.
2004-09-30,BUSH,Rep,It's the hardest decision a President makes.
2004-09-30,BUSH,Rep,So I went to the United Nations.
2004-09-30,BUSH,Rep,I didn't need anybody to tell me to go to the United Nations; I decided to go there myself.
2004-09-30,BUSH,Rep,"And I went there hoping that, once and for all, the free world would act in concert to get Saddam Hussein to listen to our demands."
2004-09-30,BUSH,Rep,"And they passed a resolution that said, ""Disclose, disarm, or face serious consequences."" I believe when an international body speaks, it must mean what it says."
2004-09-30,BUSH,Rep,But Saddam Hussein had no intention of disarming.
2004-09-30,BUSH,Rep,Why should he?
2004-09-30,BUSH,Rep,"He had 16 other resolutions, and nothing took place."
2004-09-30,BUSH,Rep,As a matter of fact—my opponent talks about inspectors—the facts are that he was systematically deceiving the inspectors.
2004-09-30,BUSH,Rep,That wasn't going to work.
2004-09-30,BUSH,Rep,"That's kind of a pre-September-10th mentality, to hope that somehow resolutions and failed inspections would make this world a more peaceful place."
2004-09-30,BUSH,Rep,He was hoping we'd turn away.
2004-09-30,BUSH,Rep,"But there was, fortunately, others beside myself who believed that we ought to take action, and we did."
2004-09-30,BUSH,Rep,The world is safer without Saddam Hussein.
2004-09-30,BUSH,Rep,"Jim, we've got the capability of doing both."
2004-09-30,BUSH,Rep,"As a matter of fact, this is a global effort."
2004-09-30,BUSH,Rep,"We're facing a— a group of folks who have such hatred in their heart, they'll strike anywhere with any means."
2004-09-30,BUSH,Rep,"And that's why it's essential that we have strong alliances, and we do."
2004-09-30,BUSH,Rep,"That's why it's essential that we make sure that we keep weapons of mass destruction out of the hands of people like Al Qaida, which we are."
2004-09-30,BUSH,Rep,But to say that there's only one focus on the war on terror doesn't really understand the nature of the war on terror.
2004-09-30,BUSH,Rep,"Of course we're after Saddam Hussein— I mean, bin Laden."
2004-09-30,BUSH,Rep,He's—he's isolated.
2004-09-30,BUSH,Rep,Seventy-five percent of his people have been brought to justice.
2004-09-30,BUSH,Rep,"The killer in—the mastermind of the September the 11th attacks, Khalid Sheik Mohammad, is in prison."
2004-09-30,BUSH,Rep,"We're making progress, but the front on this war is more than just one place."
2004-09-30,BUSH,Rep,The Philippines—we've got help—we're helping them there to bring—to bring Al Qaida affiliates to justice there.
2004-09-30,BUSH,Rep,And of course Iraq is a central part of the war on terror.
2004-09-30,BUSH,Rep,That's why Zarqawi and his people are trying to fight us.
2004-09-30,BUSH,Rep,Their hope is that we grow weary and we leave.
2004-09-30,BUSH,Rep,The biggest disaster that could happen is that we not succeed in Iraq.
2004-09-30,BUSH,Rep,We will succeed.
2004-09-30,BUSH,Rep,"We've got a plan to do so, and the main reason we'll succeed is because the Iraqis want to be free."
2004-09-30,BUSH,Rep,I had the honor of visiting with Prime Minister Allawi.
2004-09-30,BUSH,Rep,"He's a strong, courageous leader."
2004-09-30,BUSH,Rep,He believes in the freedom of the Iraqi people.
2004-09-30,BUSH,Rep,He doesn't want U.S.
2004-09-30,BUSH,Rep,"leadership, however, to send mixed signals, to not stand with the Iraqi people."
2004-09-30,BUSH,Rep,"He believes, like I believe, that the Iraqis are ready to fight for their own freedom."
2004-09-30,BUSH,Rep,They just need the help to be trained.
2004-09-30,BUSH,Rep,There will be elections in January.
2004-09-30,BUSH,Rep,We're spending reconstruction money.
2004-09-30,BUSH,Rep,And our alliance is strong.
2004-09-30,BUSH,Rep,That's the plan for victory.
2004-09-30,BUSH,Rep,"And when Iraq is free, America will be more secure."
2004-09-30,KERRY,Dem,The President just talked about Iraq as a center of the war on terror.
2004-09-30,KERRY,Dem,Iraq was not even close to the center of the war on terror before the President invaded it.
2004-09-30,KERRY,Dem,"The President made the judgment to divert forces from under General Tommy Franks from Afghanistan before the Congress even approved it, to begin to prepare to go to war in Iraq."
2004-09-30,KERRY,Dem,And he rushed to war in Iraq without a plan to win the peace.
2004-09-30,KERRY,Dem,"Now, that is not the judgment that a President of the United States ought to make."
2004-09-30,KERRY,Dem,You don't take America to war unless you have a plan to win the peace.
2004-09-30,KERRY,Dem,You don't send troops to war without the body armor that they need.
2004-09-30,KERRY,Dem,"I've met kids in Ohio, parents in Wisconsin, places—Iowa, where they're going out on the Internet to get the state-of-the-art body gear to send to their kids—some of them have got them for a birthday present."
2004-09-30,KERRY,Dem,I think that's wrong.
2004-09-30,KERRY,Dem,"Humvees—10,000 out of 12,000 Humvees that are over there aren't armored."
2004-09-30,KERRY,Dem,And you go visit some of those kids in the hospitals today who were maimed because they don't have the armament.
2004-09-30,KERRY,Dem,"This President just—I don't know if he sees what's really happening out there, but it's getting worse by the day—more soldiers killed in June than before, more in July than June, more in August than July, more in September than in August."
2004-09-30,KERRY,Dem,"And now we see beheadings, and we've got weapons of mass destruction crossing the border every single day, and they're blowing people up."
2004-09-30,KERRY,Dem,And we don't have enough troops there.
2004-09-30,BUSH,Rep,Can I respond?
2004-09-30,BUSH,Rep,"Thank you, sir."
2004-09-30,BUSH,Rep,"First of all, what my opponent wants you to forget is that he voted to authorize the use of force and now says, ""It's the wrong war at the wrong time at the wrong place."" I don't see how you can lead this country to succeed in Iraq if you say ""wrong war, wrong time, wrong place."" What message does that send our troops?"
2004-09-30,BUSH,Rep,What message does that send our allies?
2004-09-30,BUSH,Rep,What message does that send the Iraqis?
2004-09-30,BUSH,Rep,"No, the way to win this is to be steadfast and resolved and to follow through on the plan that I've just outlined."
2004-09-30,KERRY,Dem,"Yes, we have to be steadfast and resolved, and I am."
2004-09-30,KERRY,Dem,"And I will succeed for those troops, now that we're there."
2004-09-30,KERRY,Dem,We have to succeed.
2004-09-30,KERRY,Dem,We can't leave a failed Iraq.
2004-09-30,KERRY,Dem,But that doesn't mean it wasn't a mistake of judgment to go there and take the focus off of Usama bin Laden.
2004-09-30,KERRY,Dem,It was.
2004-09-30,KERRY,Dem,"Now, we can succeed, but I don't believe this President can."
2004-09-30,KERRY,Dem,I think we need a President who has the credibility to bring the allies back to the table and to do what's necessary to make it so America isn't doing this alone.
2004-09-30,KERRY,Dem,"Jim, let me tell you exactly what I'll do, and there are a long list of things."
2004-09-30,KERRY,Dem,"First of all, what kind of mixed message does it send when you've got $500 million going over to Iraq to put police officers in the streets of Iraq and the President is cutting the COPS program in America?"
2004-09-30,KERRY,Dem,"What kind of message does it send to be sending money to open firehouses in Iraq, but we're shutting firehouses, who are the first-responders, here in America?"
2004-09-30,KERRY,Dem,The President hasn't put one nickel— not one nickel—into the effort to fix some of our tunnels and bridges and most exposed subway systems.
2004-09-30,KERRY,Dem,That's why they had to close down the subway in New York when the Republican Convention was there.
2004-09-30,KERRY,Dem,We hadn't done the work that ought to be done.
2004-09-30,KERRY,Dem,"The President—95 percent of the containers that come into the ports, right here in Florida, are not inspected."
2004-09-30,KERRY,Dem,"Civilians get onto aircraft, and their—their luggage is X-rayed, but the cargo hold is not X-rayed."
2004-09-30,KERRY,Dem,Does that make you feel safer in America?
2004-09-30,KERRY,Dem,This President thought it was more important to give the wealthiest people in America a tax cut rather than invest in homeland security.
2004-09-30,KERRY,Dem,Those aren't my values.
2004-09-30,KERRY,Dem,I believe in protecting America first.
2004-09-30,KERRY,Dem,"And long before President Bush and I get a tax cut—and that's who gets it—long before we do, I'm going to invest in homeland security, and I'm going to make sure we're not cutting COPS programs in America, and we're fully staffed at our firehouses and that we protect the nuclear and chemical plants."
2004-09-30,KERRY,Dem,"The President also, unfortunately, gave in to the chemical industry, which didn't want to do some of the things necessary to strengthen our chemical plant exposure."
2004-09-30,KERRY,Dem,And there's an enormous undone job to protect the loose nuclear materials in the world that are able to get to terrorists.
2004-09-30,KERRY,Dem,"That's a whole other subject, but—I see we still have a little bit more time."
2004-09-30,KERRY,Dem,"Let me just quickly say, at the current pace the President will not secure the loose material in the Soviet Union—former Soviet Union for 13 years."
2004-09-30,KERRY,Dem,I'm going to do it in 4 years.
2004-09-30,KERRY,Dem,And we're going to keep it out of the hands of terrorists.
2004-09-30,BUSH,Rep,I don't think we want to get to how he's going to pay for all these promises.
2004-09-30,BUSH,Rep,"It's like a huge tax gap and—anyway, that's for another debate."
2004-09-30,BUSH,Rep,"My administration has tripled the amount of money we're spending on homeland security, to $30 billion a year."
2004-09-30,BUSH,Rep,My administration worked with the Congress to create the Department of Homeland Security so we could better coordinate our borders and ports.
2004-09-30,BUSH,Rep,"We've got 1,000 extra Border Patrol on the southern border, more than 1,000 on the northern border."
2004-09-30,BUSH,Rep,We're modernizing our borders.
2004-09-30,BUSH,Rep,We've spent $3.1 billion for fire and police—$3.1 billion.
2004-09-30,BUSH,Rep,We're doing our duty to provide the funding.
2004-09-30,BUSH,Rep,But the best way to protect this homeland is to stay on the offense.
2004-09-30,BUSH,Rep,"We have to be right 100 percent of the time, and the enemy only has to be right once to hurt us."
2004-09-30,BUSH,Rep,There's a lot of good people working hard.
2004-09-30,BUSH,Rep,"And by the way, we've also changed the culture of the FBI to have counterterrorism as its number one priority."
2004-09-30,BUSH,Rep,We're communicating better.
2004-09-30,BUSH,Rep,We're going to reform our intelligence services to make sure that we get the best intelligence possible.
2004-09-30,BUSH,Rep,The PATRIOT Act is vital.
2004-09-30,BUSH,Rep,"It's vital that the Congress renew the PATRIOT Act, which enables our law enforcement to disrupt terrorist cells."
2004-09-30,BUSH,Rep,"But again, I repeat to my fellow citizens, the best way to protect you is to stay on the offense."
2004-09-30,KERRY,Dem,The President just said the FBI had changed its culture.
2004-09-30,KERRY,Dem,"We just read on the front pages of America's papers that there are over 100,000 hours of tapes unlistened to."
2004-09-30,KERRY,Dem,On one of those tapes may be the enemy being right the next time.
2004-09-30,KERRY,Dem,And the test is not whether you're spending more money.
2004-09-30,KERRY,Dem,"The test is, are you doing everything possible to make America safe?"
2004-09-30,KERRY,Dem,We didn't need that tax cut.
2004-09-30,KERRY,Dem,America needed to be safe.
2004-09-30,BUSH,Rep,Of course we're doing everything we can to protect America.
2004-09-30,BUSH,Rep,I wake up every day thinking about how best to protect America.
2004-09-30,BUSH,Rep,That's my job.
2004-09-30,BUSH,Rep,I work with Director Mueller of the FBI.
2004-09-30,BUSH,Rep,"He comes into my office, when I'm in Washington, every morning talking about how to protect us."
2004-09-30,BUSH,Rep,There's a lot of really good people working hard to do so.
2004-09-30,BUSH,Rep,It's hard work.
2004-09-30,BUSH,Rep,"But again, I want to tell the American people, we're doing everything we can at home, but you better have a President who chases these terrorists down and bring them to justice before they hurt us again."
2004-09-30,BUSH,Rep,Let me first tell you that the best way for Iraq to be safe and secure is for Iraqi citizens to be trained to do the job.
2004-09-30,BUSH,Rep,And that's what we're doing.
2004-09-30,BUSH,Rep,"We got 100,000 trained now, 125,000 by the end of this year, over 200,000 by the end of next year."
2004-09-30,BUSH,Rep,That is the best way.
2004-09-30,BUSH,Rep,We'll never succeed in Iraq if the Iraqi citizens do not want to take matters into their own hands and protect themselves.
2004-09-30,BUSH,Rep,I believe they want to.
2004-09-30,BUSH,Rep,Prime Minister Allawi believes they want to.
2004-09-30,BUSH,Rep,"And so the best indication about when we can bring our troops home—which I really want to do, but I don't want to do so for the sake of bringing them home; I want to do so because we've achieved an objective—is to see the Iraqis perform, is to see the Iraqis step up and take responsibility."
2004-09-30,BUSH,Rep,"And so the answer to your question is, when our generals on the ground and Ambassador Negroponte tells me that Iraq is ready to defend herself from these terrorists, that elections will have been held by then, that there's stability, and that they're on their way to—you know, a nation of— that's free."
2004-09-30,BUSH,Rep,That's when.
2004-09-30,BUSH,Rep,And I hope it's as soon as possible.
2004-09-30,BUSH,Rep,But I know putting artificial deadlines won't work.
2004-09-30,BUSH,Rep,"My opponent one time said, ""Well, get me elected, I'll have them out of there in 6 months."" That's—you can't do that and expect to win the war on terror."
2004-09-30,BUSH,Rep,"My message to our troops is: Thank you for what you're doing; we're standing with you strong; we'll give you all the equipment you need; and we'll get you home as soon as the mission's done, because this is a vital mission."
2004-09-30,BUSH,Rep,"A free Iraq will be a ally in the war on terror, and that's essential."
2004-09-30,BUSH,Rep,A free Iraq will set a powerful example in the part of the world that is desperate for freedom.
2004-09-30,BUSH,Rep,A free Iraq will help secure Israel.
2004-09-30,BUSH,Rep,A free Iraq will enforce the hopes and aspirations of the reformers in places like Iran.
2004-09-30,BUSH,Rep,A free Iraq is essential for the security of this country.
2004-09-30,KERRY,Dem,"Thank you, Jim."
2004-09-30,KERRY,Dem,"My message to the troops is also ""Thank you"" for what they're doing, but it's also, ""Help is on the way."" I believe those troops deserve better than what they are getting today."
2004-09-30,KERRY,Dem,"You know, it's interesting, when I was in the ropeline just the other day coming out here from Wisconsin, a couple of young returnees were in the line, one active duty, one from the Guard."
2004-09-30,KERRY,Dem,"And they both looked at me and said, ""We need you."
2004-09-30,KERRY,Dem,"You've got to help us over there."" Now, I believe there's a better way to do this."
2004-09-30,KERRY,Dem,"You know, the President's father did not go into Iraq—into Baghdad, beyond Basra."
2004-09-30,KERRY,Dem,"And the reason he didn't is, he said—he wrote in his book, because there was no viable exit strategy."
2004-09-30,KERRY,Dem,And he said our troops would be occupiers in a bitterly hostile land.
2004-09-30,KERRY,Dem,That's exactly where we find ourselves today.
2004-09-30,KERRY,Dem,There's a sense of American occupation.
2004-09-30,KERRY,Dem,The only building that was guarded when the troops went into Baghdad was the oil ministry.
2004-09-30,KERRY,Dem,We didn't guard the nuclear facilities.
2004-09-30,KERRY,Dem,"We didn't guard the foreign office, where you might have found information about weapons of mass destruction."
2004-09-30,KERRY,Dem,We didn't guard the borders.
2004-09-30,KERRY,Dem,"Almost every step of the way, our troops have been left on these extraordinarily difficult missions."
2004-09-30,KERRY,Dem,I know what it's like to go out on one of those missions where you don't know what's around the corner.
2004-09-30,KERRY,Dem,And I believe our troops need other allies helping.
2004-09-30,KERRY,Dem,I'm going to hold that summit.
2004-09-30,KERRY,Dem,"I will bring fresh credibility, a new start, and we will get the job done right."
2004-09-30,BUSH,Rep,Jim——
2004-09-30,BUSH,Rep,I think it's worthy for a followup——
2004-09-30,BUSH,Rep,——if you don't mind.
2004-09-30,KERRY,Dem,Let's change the rules.
2004-09-30,KERRY,Dem,We can add a whole— .
2004-09-30,BUSH,Rep,All right.
2004-09-30,BUSH,Rep,"My opponent says, ""Help is on the way,"" but what kind of message does it say to our troops in harm's way, ""wrong war, wrong place, wrong time""?"
2004-09-30,BUSH,Rep,"That's not a message a Commander in Chief gives—or ""This is a great diversion."" As well, help is on the way, but it's certainly hard to tell it when he voted against the $87 billion supplemental to provide equipment for our troops and then said he actually did vote for it before he voted against it."
2004-09-30,BUSH,Rep,That's not what Commander in Chiefs does when you're trying to lead troops.
2004-09-30,KERRY,Dem,"Well, you know, when I talked about the $87 billion, I made a mistake in how I talk about the war."
2004-09-30,KERRY,Dem,But the President made a mistake in invading Iraq.
2004-09-30,KERRY,Dem,Which is worse?
2004-09-30,KERRY,Dem,"I believe that when you know something's going wrong, you make it right."
2004-09-30,KERRY,Dem,That's what I learned in Vietnam.
2004-09-30,KERRY,Dem,"When I came back from that war, I saw that it was wrong."
2004-09-30,KERRY,Dem,"Some people don't like the fact that I stood up to say no, but I did."
2004-09-30,KERRY,Dem,And that's what I did with that vote.
2004-09-30,KERRY,Dem,And I'm going to lead those troops to victory.
2004-09-30,KERRY,Dem,"No, and they don't have to, providing we have the leadership that we put—that I'm offering."
2004-09-30,KERRY,Dem,I believe that we have to win this.
2004-09-30,KERRY,Dem,The President and I have always agreed on that.
2004-09-30,KERRY,Dem,"And from the beginning, I did vote to give the authority because I thought Saddam Hussein was a threat."
2004-09-30,KERRY,Dem,And I did accept that—that intelligence.
2004-09-30,KERRY,Dem,"But I also laid out a very strict series of things we needed to do in order to proceed from the position of strength, and the President, in fact, promised them."
2004-09-30,KERRY,Dem,"He went to Cincinnati, and he gave a speech in which he said, ""We will plan carefully."
2004-09-30,KERRY,Dem,We will proceed cautiously.
2004-09-30,KERRY,Dem,We will not make war inevitable.
2004-09-30,KERRY,Dem,"We will go with our allies."" He didn't do any of those things."
2004-09-30,KERRY,Dem,They didn't do the planning.
2004-09-30,KERRY,Dem,They left the planning of the State Department on the State Department desks.
2004-09-30,KERRY,Dem,They avoided even the advice of their own general.
2004-09-30,KERRY,Dem,"General Shinseki, the Army Chief of Staff, said, ""You're going to need several hundred thousand troops."" Instead of listening to him, they retired him."
2004-09-30,KERRY,Dem,"The terrorism czar, who has worked for every President since Ronald Reagan, said, ""Invading Iraq in response to 9/11 would be like Franklin Roosevelt invading Mexico in response to Pearl Harbor."" That's what we have here."
2004-09-30,KERRY,Dem,And what we need now is a President who understands how to bring these other countries together to recognize their stakes in this.
2004-09-30,KERRY,Dem,They do have stakes in it.
2004-09-30,KERRY,Dem,They've always had stakes in it.
2004-09-30,KERRY,Dem,The Arab countries have a stake in not having a civil war.
2004-09-30,KERRY,Dem,The European countries have a stake in not having total disorder on their doorstep.
2004-09-30,KERRY,Dem,But this President hasn't even held the kind of statesmanlike summits that pull people together and get them to invest in those stakes.
2004-09-30,KERRY,Dem,"In fact, he's done the opposite; he pushed them away."
2004-09-30,KERRY,Dem,"When the Secretary-General, Kofi Annan, offered the United Nations, he said, ""No, no, we'll go do this alone."" To save for Halliburton the spoils of the war, they actually issued a memorandum from the Defense Department saying, ""If you weren't with us in the war, don't bother applying for any construction."" That's not a way to invite people."
2004-09-30,BUSH,Rep,That's totally absurd.
2004-09-30,BUSH,Rep,Of course the U.N.
2004-09-30,BUSH,Rep,"was invited in, and we support the U.N."
2004-09-30,BUSH,Rep,efforts there.
2004-09-30,BUSH,Rep,"They pulled out after Sergio de Mello got killed, but they're now back in, helping with elections."
2004-09-30,BUSH,Rep,My opponent says we didn't have any allies in this war?
2004-09-30,BUSH,Rep,What's he say to Tony Blair?
2004-09-30,BUSH,Rep,What's he say to Aleksander Kwasniewski of Poland?
2004-09-30,BUSH,Rep,"I mean, you can't expect to build an alliance when you denigrate the contributions of those who are serving side by side with American troops in Iraq."
2004-09-30,BUSH,Rep,"Plus, he says the cornerstone of his plan to succeed in Iraq is to call upon nations to serve."
2004-09-30,BUSH,Rep,So what's the message going to be?
2004-09-30,BUSH,Rep,"""Please join us in Iraq for a grand diversion""?"
2004-09-30,BUSH,Rep,"""Join us for a war that is a wrong war at the wrong place at the wrong time""?"
2004-09-30,BUSH,Rep,I know how these people think.
2004-09-30,BUSH,Rep,I deal with them all the time.
2004-09-30,BUSH,Rep,I sit down with the world leaders frequently and talk to them on the phone frequently.
2004-09-30,BUSH,Rep,"They're not going to follow somebody who says this is ""the wrong war at the wrong place at the wrong time."" They're not going to follow somebody whose core convictions keep changing because of politics in America."
2004-09-30,BUSH,Rep,"And finally, he says we ought to have a summit."
2004-09-30,BUSH,Rep,"Well, there are summits being held."
2004-09-30,BUSH,Rep,Japan is going to have a summit for the donors.
2004-09-30,BUSH,Rep,"There's $14 billion pledged, and Prime Minister Koizumi is going to call countries to account to get them to contribute."
2004-09-30,BUSH,Rep,"And there's going to be an Arab summit of the neighborhood countries, and Colin Powell helped set up that summit."
2004-09-30,KERRY,Dem,The United Nations' Kofi Annan offered help after Baghdad fell.
2004-09-30,KERRY,Dem,And we never picked him up on that and did what was necessary to transfer authority and to transfer reconstruction.
2004-09-30,KERRY,Dem,It was always American-run.
2004-09-30,KERRY,Dem,"Secondly, when we went in, there were three countries, Great Britain, Australia, and the United States."
