date,speaker,party,sentence
2004-09-30,KERRY,Dem,"Yes, I do."
2004-09-30,KERRY,Dem,"But before I answer further, let me thank you for moderating."
2004-09-30,KERRY,Dem,I want to thank the University of Miami for hosting us.
2004-09-30,KERRY,Dem,And I know the President will join me in welcoming all of Florida to this debate.
2004-09-30,KERRY,Dem,You've been through the roughest weeks anybody could imagine.
2004-09-30,KERRY,Dem,"Our hearts go out to you, and we admire your pluck and perseverance."
2004-09-30,KERRY,Dem,I can make America safer than President Bush has made us.
2004-09-30,KERRY,Dem,"And I believe President Bush and I both love our country equally, but we just have a different set of convictions about how you make America safe."
2004-09-30,KERRY,Dem,I believe America is safest and strongest when we are leading the world and when we are leading strong alliances.
2004-09-30,KERRY,Dem,"I'll never give a veto to any country over our security, but I also know how to lead those alliances."
2004-09-30,KERRY,Dem,"This President has left them in shatters across the globe, and we're now 90 percent of the casualties in Iraq and 90 percent of the costs."
2004-09-30,KERRY,Dem,"I think that's wrong, and I think we can do better."
2004-09-30,KERRY,Dem,I have a better plan for homeland security.
2004-09-30,KERRY,Dem,"I have a better plan to be able to fight the war on terror: by strengthening our military; strengthening our intelligence; by going after the financing more authoritatively; by doing what we need to do to rebuild the alliances; by reaching out to the Muslim world, which the President has almost not done; and beginning to isolate the radical Islamic Muslims, not have them isolate the United States of America."
2004-09-30,KERRY,Dem,"I know I can do a better job in Iraq, where I have a plan to have a summit with all of the allies, something this President has not yet achieved, not yet been able to do to bring people to the table."
2004-09-30,KERRY,Dem,We can do a better job of training the Iraqi forces to defend themselves.
2004-09-30,KERRY,Dem,And I know that we can do a better job of preparing for elections.
2004-09-30,KERRY,Dem,"All of these, and especially homeland security, which we'll talk about a little bit later."
2004-09-30,BUSH,Rep,I too thank the University of Miami and say our prayers are with the good people of this State who've suffered a lot.
2004-09-30,BUSH,Rep,September the 11th changed how America must look at the world.
2004-09-30,BUSH,Rep,"And since that day, our Nation has been on a multipronged strategy to keep our country safer."
2004-09-30,BUSH,Rep,We've pursued Al Qaida wherever Al Qaida tries to hide; 75 percent of known Al Qaida leaders have been brought to justice.
2004-09-30,BUSH,Rep,The rest of them know we're after them.
2004-09-30,BUSH,Rep,"We've upheld the doctrine that said, ""If you harbor a terrorist, you're equally as guilty as the terrorist."" And the Taliban, no longer in power; 10 million people have registered to vote in Afghanistan in the upcoming Presidential election."
2004-09-30,BUSH,Rep,"In Iraq, we saw a threat, and we realized that after September the 11th, we must take threats seriously before they fully materialize."
2004-09-30,BUSH,Rep,Saddam Hussein now sits in a prison cell.
2004-09-30,BUSH,Rep,America and the world are safer for it.
