debate_date,change_democrats,change_republicans,pre_democrats,pre_republicans,sample1,Immigration,ForeignPolicy,AbortionRights,incumbent_democrat,dk,yr,aggr_d,aggr_r,infl_d,infl_r,disc_d,disc_r,aggr_tot,infl_tot,disc_tot,yr_2008,yr_2012,yr_2016,yr_2020,yr_2024
2004-10-13 00:00:00,1.0,3.0,45.0,48.0,1030.0,0,0,0,0.0,2004-10-13,2004,98,49,25,22,7,8,147,47,15,0.0,0.0,0.0,0.0,0.0
2004-10-08 00:00:00,1.0,3.0,45.0,48.0,1030.0,1,0,0,0.0,2004-10-08,2004,121,101,30,32,10,9,222,62,19,0.0,0.0,0.0,0.0,0.0
2004-10-13 00:00:00,1.0,3.0,45.0,48.0,1030.0,0,0,0,0.0,2004-10-13,2004,98,49,25,22,7,8,147,47,15,0.0,0.0,0.0,0.0,0.0
2004-10-13 00:00:00,-2.0,-1.0,46.0,51.0,1030.0,0,0,0,0.0,2004-10-13,2004,98,49,25,22,7,8,147,47,15,0.0,0.0,0.0,0.0,0.0
2004-10-13 00:00:00,-2.0,-1.0,46.0,51.0,1030.0,0,0,0,0.0,2004-10-13,2004,98,49,25,22,7,8,147,47,15,0.0,0.0,0.0,0.0,0.0
2004-10-13 00:00:00,4.0,-2.0,44.0,50.0,1030.0,0,0,0,0.0,2004-10-13,2004,98,49,25,22,7,8,147,47,15,0.0,0.0,0.0,0.0,0.0
2004-10-13 00:00:00,-2.0,1.0,48.0,48.0,1030.0,0,0,0,0.0,2004-10-13,2004,98,49,25,22,7,8,147,47,15,0.0,0.0,0.0,0.0,0.0
2004-10-13 00:00:00,2.0,2.0,46.0,49.0,1030.0,0,0,0,0.0,2004-10-13,2004,98,49,25,22,7,8,147,47,15,0.0,0.0,0.0,0.0,0.0
2004-10-13 00:00:00,-1.0,-3.0,48.0,51.0,1030.0,0,0,0,0.0,2004-10-13,2004,98,49,25,22,7,8,147,47,15,0.0,0.0,0.0,0.0,0.0
2004-10-13 00:00:00,1.0,-2.0,47.0,48.0,1030.0,0,0,0,0.0,2004-10-13,2004,98,49,25,22,7,8,147,47,15,0.0,0.0,0.0,0.0,0.0
2004-10-13 00:00:00,0.0,3.0,48.0,46.0,1030.0,0,0,0,0.0,2004-10-13,2004,98,49,25,22,7,8,147,47,15,0.0,0.0,0.0,0.0,0.0
2004-10-13 00:00:00,1.0,0.0,48.0,49.0,1030.0,0,0,0,0.0,2004-10-13,2004,98,49,25,22,7,8,147,47,15,0.0,0.0,0.0,0.0,0.0
2004-10-13 00:00:00,-2.0,-1.0,49.0,49.0,1030.0,0,0,0,0.0,2004-10-13,2004,98,49,25,22,7,8,147,47,15,0.0,0.0,0.0,0.0,0.0
2004-10-13 00:00:00,1.0,2.0999999046325684,47.0,48.0,1030.0,0,0,0,0.0,2004-10-13,2004,98,49,25,22,7,8,147,47,15,0.0,0.0,0.0,0.0,0.0
2004-10-13 00:00:00,2.0,-1.0999984741210938,48.0,50.099998474121094,1030.0,0,0,0,0.0,2004-10-13,2004,98,49,25,22,7,8,147,47,15,0.0,0.0,0.0,0.0,0.0
2004-10-13 00:00:00,-2.0,0.0,50.0,49.0,1030.0,0,0,0,0.0,2004-10-13,2004,98,49,25,22,7,8,147,47,15,0.0,0.0,0.0,0.0,0.0
2004-10-13 00:00:00,-1.0,0.0,48.0,49.0,1030.0,0,0,0,0.0,2004-10-13,2004,98,49,25,22,7,8,147,47,15,0.0,0.0,0.0,0.0,0.0
2004-10-13 00:00:00,-1.0,1.0,47.0,49.0,1030.0,0,0,0,0.0,2004-10-13,2004,98,49,25,22,7,8,147,47,15,0.0,0.0,0.0,0.0,0.0
2004-10-13 00:00:00,1.399999976158142,-1.100000023841858,46.0,50.0,1030.0,0,0,0,0.0,2004-10-13,2004,98,49,25,22,7,8,147,47,15,0.0,0.0,0.0,0.0,0.0
2008-10-07,-1.0,-1.0,47.0,40.0,1030.0,1,1,1,0.0,2008-10-07,2008,90,114,30,38,8,18,204,68,26,1.0,0.0,0.0,0.0,0.0
2008-10-07,6.0,2.0,46.0,39.0,1030.0,1,1,1,0.0,2008-10-07,2008,90,114,30,38,8,18,204,68,26,1.0,0.0,0.0,0.0,0.0
2008-10-07,-4.0,0.0,52.0,41.0,838.0,1,1,1,0.0,2008-10-07,2008,90,114,30,38,8,18,204,68,26,1.0,0.0,0.0,0.0,0.0
